https://burmese.voanews.com/a/reuters-journalist-case-/4713948.html,႐ိုက္တာသတင္းေထာက္အမႈ အယူခံေလွ်ာက္လဲ
https://burmese.voanews.com/a/4713868.html,ဇီးပင္ႀကီးစစ္တမ္းေရးသူကို အေရးယူမည္မဟုတ္
https://burmese.voanews.com/a/myanmar-child-missing-in-thailand-/4713882.html,ေပ်ာက္ဆံုးျမန္မာကေလးငယ္ ထိုင္းတာ၀န္ရိွသူတို႔ အပူတျပင္းရွာေဖြ
https://burmese.voanews.com/a/kachin-shan-states-conflict-news-/4713749.html,အပစ္ရပ္ဆိုင္းတပ္ေၾကညာခ်က္ ၿငိမ္းခ်မ္းေရး ေမွ်ာ္လင့္
https://burmese.voanews.com/a/fighting-in-rakhine-state-/4713748.html,႐ခိုင္ေဒသတိုက္ပဲြေၾကာင့္ ေဒသခံစစ္ေျပးဒုကၡသည္တိုးလာ
https://burmese.voanews.com/a/malaysia-myanmar-killed-/4713495.html,မေလးမွာ ျမန္မာအလုပ္သမားတဦး အသတ္ခံရ
https://burmese.voanews.com/a/india-myanmar-military-/4713121.html,အိႏၵိယ-ျမန္မာ စစ္ေရးပူးေပါင္းမႈ အရွိန္ျမင့္ေဆာင္ရြက္
https://burmese.voanews.com/a/unfc-watch-carefully-for-the-min-aung-hlaing-statement-on-cease-fire-for-4-months-/4712805.html,စစ္တပ္ရဲ႕ အပစ္ရပ္ေၾကညာခ်က္ UNFC သတိထားေစာင့္ၾကည့္ 
https://burmese.voanews.com/a/rohingya-india-kshmir-un-/4712613.html,Kashmir ေရာက္ ႐ုိဟင္ဂ်ာေတြ အိႏၵိယစာရင္းေကာက္
https://burmese.voanews.com/a/thai-rescue-myanmar-kid/4712320.html,ထုိင္း စိုက္ခင္းထဲ ေပ်ာက္ဆုံးျမန္မာကေလး ထုိင္းအာဏာပုိင္ေတြ ကူညီရွာေဖြ
https://burmese.voanews.com/a/min-aung-hlaing-cease-fire/4712071.html,တပ္နဲ႔အပစ္ရပ္ ႀကဳိဆိုသူမ်ား တႏိုင္ငံလံုးအပစ္ရပ္ေရး လိုလား
https://burmese.voanews.com/a/britain-concerns-over-reuters-journalists-walone-and-kyaw-soe-oo-/4711860.html,႐ိုက္တာသတင္းေထာက္ ၂ ဦးကိစၥ ၿဗိတိန္စိုးရိမ္
https://burmese.voanews.com/a/reuters-journalist-case-/4713948.html,႐ိုက္တာသတင္းေထာက္အမႈ အယူခံေလွ်ာက္လဲ
https://burmese.voanews.com/a/4713868.html,ဇီးပင္ႀကီးစစ္တမ္းေရးသူကို အေရးယူမည္မဟုတ္
